Happiness Score,Economy (GDP per Capita),Generosity
5.131800175,1.127169251,-0.171046436
5.123899937,0.990533412,-0.18142575
5.119100094,1.008963585,0.187671542
5.101500034,1.046554685,-0.143908441
5.094799995,0.75862211,-0.240377247
5.084899902,0.503958046,-0.00149645
5.053199768,0.770238638,-0.169090509
5.005099773,0.943856001,-0.121105164
4.980800152,0.504061818,-0.052335154
4.949299812,0.390007734,0.076328471
4.909599781,0.108330332,0.013860817
4.888599873,0.714693844,0.11137148
4.882699966,0.906653047,-0.042309489
4.848400116,0.544634938,0.051911179
4.832799911,0.556156278,-0.033664726
4.829299927,0.988044381,-0.222261623
4.814099789,0.902140439,-0.109777324
4.784800053,0.982018709,-0.06956476
4.771500111,0.889232516,-0.06121527
4.768700123,0.302467644,-0.019080516
4.750599861,0.256990552,0.343198717
4.729300022,0.352462649,-0.044366926
4.724100113,0.645901859,0.033745807
4.676799774,0.808262408,-0.13877961
4.672599792,0.847198069,-0.22892037
4.672399998,1.029322505,0.117891103
4.633399963,0.785179198,-0.162565202
4.623600006,0.178741366,0.032375868
4.583000183,0.476413399,0.294681519
4.571100235,0.84008199,-0.18530646
4.56069994,0.780434608,-0.030933706
4.557899952,0.174103007,0.04227322
4.552800179,0.587819219,-0.162079096
4.43200016,0.312337428,0.099487431
4.422699928,0.302287489,0.017834719
4.392199993,0.874742687,-0.216413811
4.374599934,0.539684892,-0.106008142
4.327000141,0.897986948,0.081129618
4.31099987,0.062487468,0.083637655
4.308100224,0.827539742,-0.19920142
4.308000088,0.67809093,0.560663998
4.288599968,0.415620774,0.090008408
4.187200069,0.268116266,0.002667875
4.186200142,0.315125644,0.043377332
4.165599823,0.244553208,-0.011823639
4.151400089,0.875228941,-0.196878314
3.926399946,0.240560383,0.088660747
3.775300026,0,-0.017551597
3.759399891,0.536833763,0.078037128
3.720799923,0.284734428,0.40053457
3.652800083,0.45493874,-0.145732045
3.573299885,0.730576158,0.057551607
3.538000107,0.176534727,0.021433279
3.527400017,0.392701775,-0.157735437
3.478899956,0.997548997,-0.250394493
3.476200104,0.457163125,0.109668687
3.475899935,0.041072082,0.082410358
3.312299967,0.343242675,0.055483952
3.299200058,0.425564021,-0.072063953
2.816600084,0.289082974,0.016518548
2.566900015,0.30070585,-0.0964294
